,标题,学校,门类/专业,招生人数,发布时间,链接
606,中原工学院信息与通信工程学科招少量学硕和专硕调剂生,,工学 -> 信息与通信工程  ,5,2020-03-02 19:40,http://muchong.com/t-14112631-1
607,太原理工大学接受调剂研究生,太原理工,工学   ,4,2020-03-02 18:25,http://muchong.com/t-14112490-1
608,上海工程技术大学能源化学研究团队招收材料、化学专业硕士调剂生,上海工程,工学 -> 材料科学与工程  ,3,2020-03-02 17:57,http://muchong.com/t-14112446-1
609,欢迎化工、材料、化学及相关专业方向考生调剂沈阳化工大学研究生,沈阳化工,工学 -> 化学工程与技术  ,3,2020-03-02 16:54,http://muchong.com/t-14112298-1
610,北京工商大学聚合物功能薄膜团队接收高分子材料、轻工科学与技术专业研究生调剂,北京工商大学,工学 -> 材料科学与工程  -> 材料学,10,2020-03-02 16:22,http://muchong.com/t-14112204-1
611,长春工业大学化学工程学院接收调剂研究生,长春工业大学,工学 -> 化学工程与技术  ,5,2020-03-02 16:17,http://muchong.com/t-14112190-1
612,东北石油大学地球科学学院地震资料处理团队接受调剂研究生,东北石油大学,工学 -> 地质资源与地质工程  -> 地球探测与信息技术,5,2020-03-02 16:11,http://muchong.com/t-14112173-1
613,天津理工大学庞老师课题组招收化学、高分子材料类调剂生,天津理工,工学 -> 化学工程与技术  ,2,2020-03-02 16:02,http://muchong.com/t-14112137-1
614,福建农林大学 陈孝云 接收化学化工类，材料化学类调剂研究生,福建农林大学,工学   ,5,2020-03-02 11:38,http://muchong.com/t-14111475-1
615,哈尔滨工程大学材化学院 魏浩、马宁老师课题组2020年招生简章,哈工程,工学 -> 化学工程与技术  ,10,2020-03-02 11:15,http://muchong.com/t-14111403-1
616,北京石油化工学院化学工程学院研究生招生接收调剂,北京石油化工学院,工学   ,0,2020-03-02 11:13,http://muchong.com/t-14111396-1
617,辽宁工程技术大学接收调剂研究生,辽宁工程技术大学,工学 -> 力学  -> 固体力学,6,2020-03-02 10:47,http://muchong.com/t-14111319-1
618,华南农业大学生物碳与光学农业科研团队接收调剂研究生（化学化工、材料类）,华南农业大学,工学 -> 化学工程与技术  ,6,2020-03-02 10:36,http://muchong.com/t-14111283-1
619,长春大学胡小颖教授课题组接收材料工程专业调剂硕士研究生,长春大学,工学 -> 工程[专]  -> 材料工程,6,2020-03-02 10:19,http://muchong.com/t-14111242-1
620,安徽理工接收调剂研究生,安徽理工,工学 -> 材料科学与工程  -> 材料物理与化学,1,2020-03-02 10:03,http://muchong.com/t-14111185-1
621,安徽理工接收调剂研究生,安徽理工,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-03-02 09:33,http://muchong.com/t-14111090-1
622,研究生调剂,南昌航空大学,工学 -> 材料科学与工程  -> 材料学,4,2020-03-02 09:30,http://muchong.com/t-14111080-1
623,研究生调剂,南昌航空大学,工学 -> 材料科学与工程  -> 材料学,4,2020-03-02 09:30,http://muchong.com/t-14111078-1
624,安徽工业大学现代表界面工程研究中心接受调剂研究生,安徽工业大学,工学 -> 材料科学与工程  -> 材料学,0,2020-03-02 07:44,http://muchong.com/t-14110898-1
625,天津科大接收调剂研究生,天津科大,工学 -> 材料科学与工程  -> 材料学,4,2020-03-02 07:18,http://muchong.com/t-14110886-1
626,西京学院接收调剂研究生,西京学院,工学 -> 土木工程  -> 结构工程,10,2020-03-02 07:15,http://muchong.com/t-14110883-1
627,福大光电信息研究所2020年招收物理电子学、信息光电技术、微电子及集成电路调剂生！,福州大学,工学 -> 电子科学与技术  -> 物理电子学,3,2020-03-02 01:59,http://muchong.com/t-14110847-1
628,长春工业大学接收调剂研究生,长春工业大学,工学 -> 化学工程与技术  -> 化学工艺,2,2020-03-01 22:46,http://muchong.com/t-14110631-1
629,生物基材料与绿色造纸国家重点实验-硕士调剂生-材料，化学，造纸、林化相关,山东轻工,工学 -> 林业工程  -> 林产化学加工工程,1,2020-03-01 21:59,http://muchong.com/t-14110559-1
630,生物基材料与绿色造纸国家重点实验-硕士调剂生-材料，化学，造纸、林化相关,山东轻工,工学 -> 材料科学与工程  -> 材料学,1,2020-03-01 21:59,http://muchong.com/t-14110559-1
631,武汉科技大学千人团队先进材料研究组招收研究生,武汉科大,工学 -> 材料科学与工程  -> 材料学,2,2020-03-01 21:44,http://muchong.com/t-14110527-1
632,华南师范大学教育部创新团队、国家特聘专家周国富教授团队招收优秀调剂生,华南师范大学,工学 -> 光学工程  -> 材料物理与化学,0,2020-03-01 21:23,http://muchong.com/t-14110485-1
633,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【限材料类专业】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-01 21:19,http://muchong.com/t-14110470-1
634,不好意思。本贴作废,五邑大学,工学 -> 生物医学工程  ,2,2020-03-01 21:13,http://muchong.com/t-14110459-1
635,2020年赣南师范大学电子科学与技术、物理学、电子学专业接收调剂生2名（学术硕士）,赣南师范学院,工学 -> 电子科学与技术  -> 物理电子学,2,2020-03-01 20:45,http://muchong.com/t-14110415-1
636,南昌航空大学2020年材料类专业硕士研究生调剂,南昌航空大学,工学 -> 材料科学与工程  -> 材料学,1,2020-03-01 20:17,http://muchong.com/t-14110363-1
637,集美大学机械与能源工程学院沈志煌老师接受调剂研究生（学术型）,集美大学,工学 -> 机械工程  -> 机械制造及其自动化,1,2020-03-01 19:58,http://muchong.com/t-14110318-1
638,青岛科大接收调剂研究生,青岛科大,工学 -> 工程[专]  -> 材料工程,4,2020-03-01 19:28,http://muchong.com/t-14110270-1
639,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-03-01 18:31,http://muchong.com/t-14110170-1
640,浙江科技学院接收生物医学工程、农业工程等方向调剂生,浙江科技,工学 -> 工程[专]  -> 农业工程,0,2020-03-01 18:23,http://muchong.com/t-14110154-1
641,长春工业大学材料强韧化课题组有调剂名额，欢迎你的加入,长春工业大学,工学 -> 材料科学与工程  ,20,2020-03-01 18:18,http://muchong.com/t-14110149-1
642,江苏大学接收化工专业调剂研究生,江苏大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-03-01 18:12,http://muchong.com/t-14110134-1
643,广西大学（211高校）轻工与食品学院2020招收轻工、环境、化工、材料等背景调剂生！,广西大学,工学 -> 轻工技术与工程  ,40,2020-03-01 17:53,http://muchong.com/t-14110102-1
644,南昌航空大学接收材料/冶金/焊接方向调剂研究生,南昌航空大学,工学 -> 材料科学与工程  -> 材料加工工程,2,2020-03-01 17:12,http://muchong.com/t-14110013-1
645,西安工业大学 光学工程和仪器科学与技术 王伟课题组招收调剂研究生,西安工大,工学 -> 光学工程  ,4,2020-03-01 17:02,http://muchong.com/t-14109989-1
646,太原科技大学-化工学院-招调剂生,太原科大,工学 -> 化学工程与技术  ,2,2020-03-01 17:00,http://muchong.com/t-14109983-1
647,五邑大学接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-01 16:58,http://muchong.com/t-14109973-1
648,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 治金工程  -> 治金物理化学,1,2020-03-01 16:54,http://muchong.com/t-14109962-1
649,华中科大招收流体力学研究生,华中科大,工学 -> 力学  -> 流体力学,1,2020-03-01 16:10,http://muchong.com/t-14109851-1
650,齐鲁工业大学青年泰山学者孟宪赓教授课题组招收2020年材料/化学类硕士调剂生,山东轻工,工学 -> 材料科学与工程  -> 材料学,6,2020-03-01 16:02,http://muchong.com/t-14109828-1
651,招收高分子化学与物理、化学工程、制药工程的调剂生（报考学科代码07、08开头）,长春工业大学,工学 -> 化学工程与技术  -> 化学工程,5,2020-03-01 15:06,http://muchong.com/t-14109685-1
652,上海电力大学招收环境、材料、化学、化工、能源及相关专业调剂学生,上海电力,工学   ,20,2020-03-01 14:58,http://muchong.com/t-14109659-1
653,上海工程技术大学化学化工学院门勇教授招收化学类调剂生,上海工程,工学 -> 化学工程与技术  -> 工业催化,4,2020-03-01 14:24,http://muchong.com/t-14109592-1
654,内蒙古科技大学“电磁冶金与材料新技术团队”2020年招收硕士研究生调剂生,内蒙古科大,工学 -> 材料科学与工程  ,6,2020-03-01 13:56,http://muchong.com/t-14109524-1
655,招生硕士1名,东北石油大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-03-01 13:44,http://muchong.com/t-14109509-1
656,欢迎调剂到苏州科技大学，高效微纳米储能材料与产业化推进实验攻读研究生！,苏州科技大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-01 13:17,http://muchong.com/t-14109467-1
657,石家庄铁道大学接收调剂研究生,石家庄铁道大学,工学 -> 材料科学与工程  -> 材料学,0,2020-03-01 13:04,http://muchong.com/t-14109438-1
658,长沙理工接收调剂研究生,长沙理工,工学   ,0,2020-03-01 12:48,http://muchong.com/t-14109407-1
659,华南师范大学半导体科技研究院江丰老师课题组招收硕士研究生,华南师范大学,工学   ,3,2020-03-01 12:39,http://muchong.com/t-14109387-1
660,集美大学接收调剂研究生,集美大学,工学 -> 机械工程  -> 机械制造及其自动化,2,2020-03-01 12:17,http://muchong.com/t-14109342-1
661,天津理工接收调剂研究生,天津理工,工学 -> 材料科学与工程  -> 材料加工工程,1,2020-03-01 12:02,http://muchong.com/t-14109301-1
662,燕山大学环境与化学工程学院招收调剂生,燕山大学,工学 -> 化学工程与技术  ,6,2020-03-01 12:01,http://muchong.com/t-14109297-1
663,东北林业大学“林业工程”双一流学科生物质复合材料方向招收2名硕士研究生,东北林大,工学 -> 林业工程  ,2,2020-03-01 11:45,http://muchong.com/t-14109266-1
664,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【限材料类专业】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-03-01 11:23,http://muchong.com/t-14109213-1
665,辽宁科技大学接收化工调剂研究生,辽宁科大,工学   ,5,2020-03-01 10:49,http://muchong.com/t-14109112-1
666,南昌航空大学【罗旭彪】教授课题组招硕士研究生,南昌航空大学,工学 -> 环境科学与工程  ,15,2020-03-01 10:20,http://muchong.com/t-14109016-1
667,2020天津职业技术师范大学   机器人及智能装备研究所招调剂生,天津职业技术师范大学,工学 -> 机械工程  -> 机械电子工程,15,2020-03-01 10:17,http://muchong.com/t-14109001-1
668,东北石油大学-女王大学（加拿大） 国际合作联合实验室 硕士调剂招生,东北石油大学,工学 -> 化学工程与技术  ,3,2020-03-01 08:57,http://muchong.com/t-14108825-1
669,上海工程技术大学李文尧副教授课题组2020年研究生招生(更新）,上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-01 08:50,http://muchong.com/t-14108812-1
670,2020湖北工业大学招收工科硕士调剂生,湖北工业大学,工学 -> 轻工技术与工程  -> 制浆造纸工程,0,2020-03-01 08:16,http://muchong.com/t-14108759-1
671,内蒙古农大接收调剂研究生,内蒙古农大,工学 -> 材料科学与工程  -> 材料加工工程,20,2020-03-01 07:32,http://muchong.com/t-14108711-1
672,重庆科技学院新能源材料、陶瓷材料研究所 接收研究生调剂【限材料类专业】,重庆科技学院,工学 -> 材料科学与工程  ,10,2020-02-29 22:18,http://muchong.com/t-14108321-1
673,沈阳建筑大学机械制造专业硕士调剂,沈阳建筑,工学 -> 机械工程  -> 机械制造及其自动化,3,2020-02-29 22:05,http://muchong.com/t-14108290-1
674,燕山大学接收调剂研究生,燕山大学,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-29 20:42,http://muchong.com/t-14108116-1
675,本科专业应用化学，化学工程与工艺，高分子材料，要考数学,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-02-29 20:14,http://muchong.com/t-14108056-1
676,塔里木大学接收调剂研究生,塔里木大学,工学 -> 化学工程与技术  -> 化学工艺,0,2020-02-29 20:03,http://muchong.com/t-14108026-1
677,长春工业大学化学工程学院接收调剂研究生,长春工业大学,工学 -> 化学工程与技术  ,5,2020-02-29 19:41,http://muchong.com/t-14107980-1
678,东北石油大学接收调剂研究生,东北石油大学,工学 -> 石油与天然气工程  -> 油气井工程,5,2020-02-29 18:38,http://muchong.com/t-14107840-1
679,2020南昌航空大学无损检测国家工程实验室宋凯教授团队接收调剂研究生,南昌航空大学,工学 -> 仪器科学与技术  ,5,2020-02-29 18:38,http://muchong.com/t-14107843-1
680,安徽工业大学接收调剂研究生,安徽工业大学,工学 -> 材料科学与工程  -> 材料加工工程,3,2020-02-29 18:16,http://muchong.com/t-14107801-1
681,长春工业大学刘伯军课题组增加招收调剂生2名,长春工业大学,工学 -> 材料科学与工程  -> 材料学,2,2020-02-29 18:09,http://muchong.com/t-14107783-1
682,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,0,2020-02-29 18:07,http://muchong.com/t-14107777-1
683,西京学院接收调剂研究生,西京学院,工学 -> 土木工程  -> 结构工程,10,2020-02-29 17:29,http://muchong.com/t-14107689-1
684,浙江科技学院万健课题组接收硕士研究生调剂,浙江科技,工学 -> 计算机科学与技术  ,0,2020-02-29 16:14,http://muchong.com/t-14107531-1
685,武汉科技大学材料与冶金学院冶金智能和绿色制造研究团队拟招收2020级硕士/博士研究生,武汉科大,工学 -> 治金工程  ,2,2020-02-29 16:07,http://muchong.com/t-14107507-1
686,接受材料工程类调剂生源,南昌工程,工学 -> 工程[专]  -> 材料工程,2,2020-02-29 16:02,http://muchong.com/t-14107497-1
687,海南大学接收调剂研究生,海南大学,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-29 16:00,http://muchong.com/t-14107491-1
